Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.E,Xc1.Q,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda.1,Xc2.lambda.2,Xc2.lambda.3,Xc2.lambda.4,Xc2.lambda.5,Xc2.lambda.6,Xc2.lambda.7,Xc2.lambda.8,Xc2.lambda.9,Xc2.lambda.10,Xc2.lambda.11,Xc2.lambda.12,Xc2.lambda.13,Xc2.lambda.14,Xc2.lambda.15,Xc2.lambda.16,Xc2.lambda.17,Xc2.lambda.18,Xc2.lambda.19,Xc2.lambda.20,Xc2.lambda.21,Xc2.lambda.22,Xc2.lambda.23,Xc2.lambda.24,Xc2.lambda.25,Xc2.lambda.26,Xc2.lambda.27,Xc2.lambda.28,Xc2.lambda.29,Xc2.lambda.30,protection
24.736892,16.581873,17.669209,16.853707,7.883185,27.183398,20.931216,18.212876,13.048031,20.659382,41.590598,23.649556,5.980347,16.038205,20.659382,38.056757,19.300212,2.990174,12.504363,25.552394,0.024133,0.025038,0.024271,0.023995,0.023999,0.024748,0.024004,0.02375,0.02522,0.023974,0.024205,0.023833,0.024402,0.02477,0.023902,0.024947,0.024102,0.024276,0.023989,0.023963,0.023952,0.024352,0.023985,0.023797,0.025248,0.024121,0.024262,0.024739,0.024445,0.023745,Cis-Golgi
27.681031,24.118126,29.599518,27.406961,3.288835,72.080308,50.154739,15.896038,13.429411,27.406961,70.43589,50.702878,13.155341,8.770228,8.496158,45.495556,23.295917,1.918487,4.933253,24.118126,0.024625,0.024816,0.023862,0.024963,0.024645,0.025287,0.022072,0.024752,0.024496,0.022691,0.022378,0.024461,0.025495,0.022096,0.025171,0.024534,0.024231,0.023218,0.024518,0.024813,0.022263,0.024076,0.024971,0.024742,0.024078,0.024624,0.02546,0.022609,0.024911,0.025072,Cis-Golgi
11.12242,3.255342,2.712785,5.968128,4.883014,8.138356,4.069178,10.308584,3.7979,6.239406,12.207534,6.781963,3.255342,5.968128,5.696849,9.494749,5.154292,1.627671,3.255342,10.851141,0.024207,0.02564,0.024804,0.023459,0.024927,0.023808,0.024028,0.023765,0.023372,0.023177,0.024207,0.024628,0.024702,0.025109,0.024306,0.023365,0.022485,0.025426,0.025064,0.025084,0.023487,0.025406,0.025306,0.025211,0.02243,0.024522,0.023961,0.024313,0.023694,0.02483,Cis-Golgi
1.284522,1.541426,1.284522,0.513809,0.513809,2.312139,0.770713,3.082852,0.256904,2.055235,3.596661,2.312139,1.284522,1.541426,0.513809,2.825948,1.79833,0.256904,1.541426,1.027617,0.026911,0.023047,0.022581,0.021605,0.023777,0.021443,0.025073,0.023768,0.025554,0.021849,0.024391,0.024302,0.028611,0.021095,0.025948,0.026737,0.028974,0.022374,0.027306,0.025665,0.027281,0.024119,0.027515,0.024945,0.025635,0.022728,0.028651,0.02018,0.025311,0.025721,Cis-Golgi
1.819993,1.819993,3.379988,3.639987,1.559994,3.639987,1.299995,2.079992,0.519998,3.899986,5.979978,3.639987,1.559994,2.079992,1.299995,3.639987,3.119989,1.039996,1.299995,2.85999,0.026879,0.026859,0.025054,0.021093,0.025057,0.027826,0.023782,0.022699,0.026786,0.026149,0.025048,0.024346,0.023089,0.02875,0.024709,0.022951,0.025745,0.026858,0.024352,0.022702,0.025583,0.023658,0.023989,0.023098,0.024771,0.02363,0.021976,0.024234,0.024077,0.024251,Cis-Golgi
1.53315,2.0442,3.0663,1.53315,0.766575,1.788675,2.0442,2.0442,0.766575,3.0663,3.321825,2.299725,1.0221,2.299725,0.51105,4.854974,2.299725,0.766575,2.55525,2.0442,0.023883,0.023686,0.025239,0.022709,0.024202,0.026034,0.02566,0.022089,0.025918,0.025761,0.02642,0.023516,0.027281,0.025448,0.025755,0.024223,0.024844,0.026733,0.024863,0.022935,0.024852,0.024626,0.025859,0.023499,0.026132,0.022937,0.024986,0.025383,0.023521,0.025481,Cis-Golgi
9.508679,2.674316,6.24007,3.862901,3.268608,7.131509,2.37717,11.588702,2.971462,9.508679,18.720211,5.942924,4.754339,10.99441,6.24007,12.182995,7.131509,2.080023,7.428655,13.074433,0.021813,0.022462,0.021603,0.022512,0.021948,0.022851,0.02315,0.023006,0.023661,0.022442,0.024234,0.023164,0.02304,0.022791,0.023182,0.023226,0.024574,0.022726,0.023369,0.023874,0.023423,0.024065,0.024383,0.025126,0.025593,0.02539,0.023095,0.02416,0.023358,0.024636,Cis-Golgi
6.004407,2.701983,9.907271,7.505508,0,15.311237,6.604847,4.503305,0.30022,4.203085,5.704186,11.108152,2.101542,1.801322,2.401763,7.505508,9.00661,0.900661,0,4.803525,0.024501,0.024255,0.019874,0.026099,0.022691,0.024892,0.023369,0.022128,0.023417,0.022282,0.022788,0.023436,0.0238,0.023424,0.022674,0.022084,0.025478,0.023027,0.023197,0.025596,0.021356,0.025271,0.0231,0.021404,0.023659,0.024065,0.02346,0.023811,0.022415,0.022227,Cis-Golgi
7.065235,3.92513,0.523351,2.616754,0.785026,1.831728,1.308377,6.018533,1.046701,4.710156,9.681988,0.785026,1.046701,5.495183,2.355078,6.541884,2.616754,1.570052,2.616754,6.803559,0.021016,0.022449,0.023176,0.022973,0.024232,0.024431,0.026518,0.024718,0.02559,0.025126,0.023436,0.023579,0.024714,0.02528,0.025498,0.026217,0.025878,0.02604,0.023778,0.025496,0.023963,0.025657,0.024295,0.025146,0.025084,0.024827,0.025504,0.026335,0.02512,0.022252,Cis-Golgi
5.521193,3.154967,1.577484,1.577484,0.525828,2.629139,1.051656,7.361591,1.577484,0.788742,6.572849,0.788742,0.525828,2.629139,4.469537,3.943709,1.577484,1.051656,1.051656,5.521193,0.02413,0.023949,0.024521,0.025619,0.023807,0.023586,0.024896,0.023902,0.024988,0.024233,0.023374,0.026342,0.025704,0.027023,0.024511,0.02338,0.025,0.026368,0.023665,0.027127,0.023453,0.022599,0.025005,0.025612,0.023659,0.024265,0.0238,0.023177,0.025056,0.024332,Cis-Golgi
11.467071,4.526475,15.691781,8.751186,5.130005,8.449421,6.337065,10.561776,11.165306,21.727081,25.951792,9.354716,3.922945,18.105901,6.0353,21.123551,9.354716,2.112355,6.940595,14.182956,0.022861,0.022379,0.021925,0.022891,0.022935,0.023658,0.022785,0.022643,0.023864,0.024054,0.023709,0.024219,0.022788,0.023041,0.023247,0.024201,0.024365,0.02352,0.023721,0.023358,0.024263,0.023297,0.022078,0.023159,0.02282,0.023041,0.022768,0.023276,0.023378,0.023991,Cis-Golgi
6.165508,9.248261,7.963781,11.303431,3.082754,14.129288,8.477573,10.789638,4.367235,10.789638,16.69825,9.762054,4.110338,8.734469,11.817223,15.413769,8.734469,2.312065,6.6793,12.074119,0.024216,0.024686,0.024505,0.024992,0.025779,0.025597,0.024362,0.023915,0.024665,0.023962,0.024018,0.023864,0.024326,0.025303,0.024456,0.025102,0.025646,0.025411,0.025717,0.025792,0.024546,0.023248,0.024867,0.02471,0.025097,0.023685,0.025731,0.025109,0.025242,0.024553,Cis-Golgi
5.900776,4.291474,3.486822,5.900776,1.072868,5.364342,3.755039,5.900776,5.364342,6.705428,8.582947,5.096125,3.218605,5.364342,4.559691,7.510079,6.705428,0.804651,3.755039,7.778296,0.024487,0.023375,0.024609,0.021444,0.024426,0.023387,0.023316,0.024015,0.02373,0.024381,0.023398,0.023119,0.024676,0.02335,0.026232,0.025526,0.02495,0.023238,0.025725,0.022521,0.024652,0.025642,0.025872,0.025361,0.025572,0.02488,0.02547,0.026229,0.02451,0.023688,Cis-Golgi
4.497299,3.968205,3.174564,6.613675,2.64547,6.878222,5.026393,7.14277,3.703658,5.29094,8.465505,7.407317,3.174564,6.613675,3.703658,6.084581,5.555487,0.264547,3.703658,8.994599,0.025315,0.023542,0.022978,0.025294,0.023465,0.023681,0.022678,0.023794,0.024113,0.023744,0.023862,0.024441,0.024393,0.025678,0.026036,0.023324,0.024725,0.024917,0.026796,0.025716,0.025092,0.025551,0.024258,0.025603,0.024773,0.023668,0.02533,0.024323,0.0239,0.024461,Cis-Golgi
11.818134,4.947126,3.572924,8.52005,2.748403,12.917495,7.695529,8.245209,1.923882,5.771647,17.31494,6.596168,2.198723,5.221966,7.970369,13.192335,6.046487,2.473563,1.649042,5.771647,0.022502,0.023215,0.022423,0.023237,0.024107,0.023789,0.022884,0.022525,0.024545,0.023799,0.024002,0.024023,0.024346,0.025212,0.023663,0.024888,0.025112,0.023577,0.025777,0.026164,0.023581,0.024926,0.02479,0.024781,0.023098,0.024555,0.024673,0.025228,0.024696,0.025042,Cis-Golgi
2.06992,4.398581,2.5874,2.84614,0.25874,3.8811,5.692281,2.5874,2.32866,3.36362,7.244721,2.5874,2.32866,1.81118,0.77622,3.36362,3.10488,0,1.03496,2.5874,0.023965,0.026007,0.023653,0.022857,0.022631,0.024099,0.021238,0.025152,0.025386,0.023963,0.026088,0.024896,0.023901,0.02471,0.026126,0.025182,0.025252,0.027199,0.027954,0.02722,0.023676,0.02456,0.026173,0.025171,0.022948,0.023916,0.024199,0.023713,0.022861,0.026565,Cis-Golgi
9.720484,3.829281,3.240161,5.596642,2.061921,10.898724,6.480322,14.138885,3.534721,3.534721,12.076965,3.240161,3.240161,3.829281,14.728006,15.317126,5.891202,1.767361,2.651041,7.069443,0.024082,0.023495,0.022449,0.024036,0.022224,0.023679,0.024775,0.023658,0.024157,0.023028,0.023912,0.023974,0.021587,0.023405,0.02294,0.024089,0.024209,0.022057,0.025303,0.024271,0.024562,0.024921,0.023271,0.023373,0.02514,0.022201,0.021727,0.022461,0.023041,0.023414,Cis-Golgi
6.046066,4.122318,4.946781,8.244636,1.374106,4.397139,6.595709,6.320887,2.473391,5.771245,7.420172,4.67196,0.824464,4.946781,7.420172,9.343921,5.221603,0.824464,3.023033,8.244636,0.023617,0.024199,0.023495,0.023698,0.024914,0.025801,0.023003,0.022749,0.024952,0.023341,0.024395,0.022581,0.025312,0.023455,0.023666,0.024784,0.023266,0.0233,0.025107,0.022668,0.025387,0.024898,0.025357,0.02461,0.023654,0.026313,0.024961,0.023788,0.023143,0.024764,Cis-Golgi
5.02163,5.02163,5.523793,6.025956,0.251081,5.523793,6.277037,3.264059,3.264059,9.290015,8.787852,6.7792,1.506489,6.277037,5.272711,6.277037,5.02163,2.510815,2.510815,5.02163,0.02459,0.026047,0.024013,0.022433,0.025004,0.024197,0.025937,0.024845,0.024863,0.02451,0.025072,0.024977,0.02408,0.025562,0.025123,0.025725,0.024598,0.025331,0.025727,0.025825,0.024557,0.025354,0.02402,0.024423,0.025617,0.025183,0.025321,0.024929,0.025567,0.025488,Cis-Golgi
3.958766,1.73196,0.989691,1.979383,0.494846,4.948457,3.958766,1.73196,0.494846,2.474229,4.453612,3.711343,0.989691,1.73196,0.742269,0.989691,0.742269,0,0.494846,1.979383,0.025551,0.027884,0.024531,0.024491,0.024356,0.025505,0.024217,0.027452,0.026782,0.021364,0.024963,0.028526,0.027349,0.023193,0.023733,0.024954,0.023335,0.026127,0.028036,0.021244,0.020245,0.025797,0.026587,0.024099,0.025778,0.02402,0.026852,0.023587,0.0266,0.025417,Cis-Golgi
4.518895,4.016796,3.012597,4.769945,0.502099,3.514696,2.008398,3.765746,3.765746,5.523094,7.782542,3.765746,2.259448,8.284641,5.020995,7.531492,4.769945,3.012597,6.527293,5.020995,0.024178,0.025426,0.023614,0.02374,0.025084,0.024241,0.024033,0.025385,0.025232,0.024843,0.024305,0.026285,0.025055,0.024604,0.024862,0.023201,0.025549,0.023749,0.024706,0.023969,0.025524,0.02665,0.024638,0.02662,0.025912,0.024748,0.025186,0.025492,0.02548,0.026639,Cis-Golgi
4.308543,4.055099,3.548212,3.548212,1.520662,2.787881,2.02755,4.308543,2.787881,5.068874,8.363642,4.81543,2.02755,6.336093,5.575762,5.829205,3.548212,2.280993,4.308543,3.801656,0.022629,0.024981,0.024166,0.024498,0.025914,0.026468,0.025216,0.024076,0.024766,0.023479,0.02566,0.027879,0.025781,0.026522,0.024733,0.025845,0.025658,0.027259,0.024314,0.023211,0.025615,0.026464,0.023254,0.023496,0.025916,0.024153,0.022792,0.024297,0.024201,0.023314,Cis-Golgi
7.846296,4.184691,6.015493,6.277036,0.78463,5.230864,4.184691,6.015493,3.661605,8.892468,10.984814,8.107839,1.569259,4.969321,4.707777,8.369382,4.446234,1.046173,6.277036,6.800123,0.02551,0.025196,0.0258,0.025089,0.02425,0.023934,0.024855,0.023657,0.025967,0.026534,0.023976,0.02563,0.024706,0.024886,0.024761,0.024995,0.023775,0.02432,0.023303,0.025108,0.024853,0.023901,0.025831,0.024721,0.023275,0.023847,0.023368,0.024312,0.024569,0.023529,Cis-Golgi
3.433032,5.950589,5.035114,5.035114,1.144344,7.094933,2.517557,4.348507,1.602082,5.492851,8.925883,5.72172,2.288688,4.577376,3.661901,8.468146,3.661901,4.119638,4.577376,2.288688,0.0238,0.025257,0.026161,0.026713,0.025359,0.025065,0.025556,0.024866,0.024516,0.026152,0.025493,0.025798,0.025742,0.026772,0.026699,0.025538,0.025687,0.024651,0.024217,0.026518,0.0263,0.026328,0.025905,0.026733,0.025414,0.025731,0.024859,0.02614,0.026729,0.026431,Cis-Golgi
6.466678,5.173343,8.277348,11.898688,1.81067,6.984013,4.914676,8.277348,4.397341,8.277348,14.485359,11.898688,3.104006,10.346685,6.725345,11.898688,8.536015,1.81067,7.501347,8.794682,0.024751,0.024874,0.024851,0.023482,0.025091,0.025824,0.024014,0.024595,0.025404,0.024409,0.025395,0.023845,0.024875,0.024205,0.025463,0.024003,0.02533,0.024703,0.024599,0.025545,0.02456,0.024392,0.024015,0.023957,0.025156,0.024474,0.026137,0.024003,0.025009,0.024371,Cis-Golgi
9.779294,6.343326,5.814715,8.722073,1.321526,9.779294,4.228884,14.008178,4.228884,7.400547,19.822893,11.365126,3.964579,7.136242,8.722073,13.479567,10.57221,1.321526,7.136242,9.779294,0.024688,0.026099,0.024366,0.022926,0.024982,0.024309,0.024359,0.024179,0.025906,0.024283,0.024481,0.025002,0.025638,0.024169,0.025425,0.024149,0.024705,0.024821,0.024977,0.024058,0.024151,0.02389,0.024287,0.025253,0.023598,0.024121,0.024738,0.023689,0.023953,0.024495,Cis-Golgi
4.303229,5.568885,3.037574,4.303229,3.290705,5.568885,3.796967,4.55636,4.050098,6.834541,12.150294,7.340803,2.27818,6.075147,4.809492,9.112721,4.303229,2.025049,3.037574,6.075147,0.023923,0.024249,0.024618,0.024238,0.023465,0.022157,0.023929,0.023757,0.024821,0.025436,0.025794,0.02402,0.025482,0.025202,0.025533,0.025636,0.02597,0.026181,0.023791,0.025182,0.026565,0.02599,0.024864,0.026212,0.024172,0.023238,0.025626,0.025904,0.024777,0.026136,Cis-Golgi
8.954935,9.21079,4.093685,7.675659,0,16.630594,9.722501,4.86125,4.605395,1.535132,15.095462,7.419803,2.814408,3.581974,7.675659,4.093685,4.86125,0.511711,2.046842,5.884672,0.024667,0.024298,0.023622,0.024031,0.024929,0.024217,0.024745,0.023823,0.023904,0.024739,0.023823,0.025186,0.024391,0.024015,0.024401,0.025813,0.025042,0.024916,0.024366,0.025948,0.024574,0.025171,0.025668,0.026288,0.024961,0.024737,0.02612,0.024071,0.026257,0.02542,Cis-Golgi
2.504484,1.878363,0.31306,0,0.31306,0.31306,0.626121,0.626121,0,0.626121,10.017935,0,0.626121,3.756726,5.008968,2.817544,0.626121,0.626121,0,0.31306,0.024127,0.021392,0.02446,0.020802,0.021423,0.021163,0.024909,0.024498,0.025721,0.023255,0.022813,0.022902,0.024529,0.023281,0.024052,0.024372,0.025669,0.021911,0.023345,0.022908,0.022017,0.021147,0.022217,0.022518,0.021511,0.019976,0.023249,0.025719,0.021005,0.020049,Cis-Golgi
2.962312,2.468594,1.234297,2.962312,0.493719,4.196609,3.209172,2.715453,2.962312,2.962312,4.937187,2.962312,0.987437,4.196609,0.740578,3.209172,1.974875,0.740578,1.728016,3.70289,0.024392,0.026331,0.028455,0.023523,0.024009,0.02327,0.026459,0.027352,0.025009,0.022168,0.025517,0.025045,0.026456,0.025561,0.026008,0.02326,0.028233,0.024852,0.024942,0.023581,0.025016,0.026449,0.026204,0.02167,0.023032,0.025157,0.028153,0.025804,0.023773,0.023459,Cis-Golgi
2.535548,3.549768,1.774884,2.028439,0.50711,4.817542,1.014219,2.789103,2.281994,2.281994,5.324652,4.310432,4.563987,2.281994,1.774884,4.310432,4.817542,0.760665,1.267774,4.056878,0.02525,0.024196,0.024828,0.025508,0.025551,0.024965,0.02337,0.024738,0.021845,0.023619,0.025138,0.024101,0.027451,0.024435,0.025518,0.025658,0.026261,0.023889,0.024001,0.02593,0.022083,0.026429,0.024511,0.025697,0.023668,0.026132,0.025919,0.028728,0.023919,0.023107,Cis-Golgi
3.117332,2.597777,2.597777,2.857555,0.519555,3.896666,1.558666,3.117332,2.597777,3.37711,4.416221,3.37711,0.519555,3.117332,1.818444,4.156443,3.117332,0.259778,2.597777,5.974887,0.022867,0.023657,0.024416,0.025428,0.020393,0.024833,0.02577,0.023962,0.023676,0.023172,0.023476,0.025017,0.023954,0.025201,0.027549,0.023892,0.025835,0.024445,0.023086,0.02566,0.023743,0.027668,0.02727,0.023904,0.025734,0.025399,0.026626,0.026922,0.024121,0.022548,Cis-Golgi
1.145682,1.374819,0.916546,0.229136,0.229136,1.145682,0.687409,1.603955,0,1.833092,2.749638,0.687409,0.229136,2.520501,1.145682,1.145682,1.145682,1.374819,1.374819,1.603955,0.022745,0.024342,0.024418,0.027914,0.024653,0.021795,0.023452,0.026384,0.024223,0.025815,0.022232,0.026391,0.027613,0.027753,0.030171,0.029167,0.025237,0.027412,0.027914,0.023659,0.028423,0.024509,0.023192,0.025163,0.027765,0.028681,0.026466,0.02411,0.024603,0.024662,Cis-Golgi
4.851136,3.319199,2.297907,3.319199,1.531938,3.574522,1.787261,2.808553,2.042584,3.829845,4.085167,3.319199,2.297907,3.063876,3.574522,4.851136,2.808553,0.765969,1.021292,3.319199,0.025176,0.023247,0.02489,0.024335,0.025242,0.027403,0.027098,0.024191,0.022504,0.023801,0.023265,0.023049,0.026185,0.025616,0.025606,0.023225,0.024306,0.024838,0.024639,0.023125,0.024761,0.023725,0.026706,0.025563,0.022786,0.02624,0.025535,0.026384,0.024829,0.026409,Cis-Golgi
3.383152,2.819293,1.973505,1.409646,0.845788,2.537364,1.409646,6.766303,2.255434,3.383152,13.250677,1.973505,2.537364,3.665081,4.792798,4.510869,4.228939,1.973505,3.383152,6.484374,0.023558,0.024587,0.024991,0.021643,0.022479,0.023042,0.023009,0.022808,0.024613,0.023705,0.022833,0.025324,0.024212,0.023975,0.024016,0.02341,0.024486,0.022094,0.023196,0.025703,0.023929,0.025034,0.024326,0.023982,0.023782,0.024518,0.025688,0.024143,0.024832,0.024153,Cis-Golgi
4.258652,2.129326,3.954462,1.520947,0.912568,3.954462,0.608379,5.17122,2.737705,7.300546,11.255008,2.737705,1.825136,6.692167,4.86703,7.908924,7.300546,0.304189,4.86703,6.083788,0.023472,0.022021,0.023898,0.023253,0.022525,0.021251,0.021873,0.022334,0.024782,0.02307,0.022836,0.025802,0.022358,0.023365,0.022737,0.024267,0.022523,0.02199,0.023187,0.023097,0.023136,0.023625,0.022615,0.023053,0.024382,0.02174,0.024008,0.024007,0.02374,0.024864,Cis-Golgi
6.390498,3.61202,3.056325,2.50063,0.277848,3.056325,3.61202,5.279107,1.111391,6.946193,11.113909,1.389239,1.111391,5.001259,4.723411,7.779736,5.279107,2.222782,1.667086,6.390498,0.023152,0.023121,0.023943,0.022008,0.024368,0.021519,0.023542,0.021477,0.025647,0.023908,0.024768,0.02402,0.024141,0.024408,0.026202,0.024682,0.0249,0.024601,0.023986,0.024636,0.025484,0.024503,0.024923,0.025776,0.023921,0.023576,0.023413,0.02397,0.024169,0.023389,Cis-Golgi
4.493235,1.497745,1.198196,0.898647,1.198196,1.198196,2.99549,4.792784,2.396392,8.686921,9.286019,2.99549,2.396392,6.590078,4.193686,7.488725,3.894137,1.497745,3.295039,4.193686,0.022933,0.023291,0.021127,0.022854,0.022982,0.024014,0.022094,0.024867,0.023425,0.022636,0.022832,0.023593,0.023877,0.020889,0.024686,0.023905,0.021116,0.025118,0.023573,0.023195,0.024124,0.024088,0.023388,0.023592,0.023975,0.023321,0.024156,0.022976,0.024039,0.023785,Cis-Golgi
3.804721,2.048696,2.926709,1.756025,0.585342,3.51205,2.048696,6.73143,1.756025,7.024101,10.24348,1.756025,1.756025,6.438759,5.268076,4.975405,6.146088,0.878013,2.926709,5.268076,0.022928,0.022936,0.022629,0.021658,0.023149,0.022792,0.021577,0.023413,0.026406,0.024325,0.023768,0.02566,0.02524,0.023699,0.023065,0.024284,0.023504,0.023607,0.02475,0.023311,0.021081,0.024966,0.02389,0.024004,0.021949,0.024174,0.02312,0.022261,0.023747,0.025436,Cis-Golgi
6.389709,3.055948,2.500321,0.83344,0,2.500321,1.111254,6.667522,1.944694,5.278455,11.390351,1.944694,1.111254,5.834082,5.000642,4.167202,6.945336,1.944694,2.500321,5.556269,0.024809,0.022912,0.02364,0.023284,0.022918,0.023115,0.023953,0.02389,0.024183,0.024794,0.023428,0.026285,0.02326,0.022931,0.024511,0.025476,0.022708,0.02638,0.024039,0.025408,0.024651,0.024975,0.023923,0.023376,0.025861,0.022773,0.023965,0.024609,0.02361,0.022519,Cis-Golgi
